"ranking","username","name","profile_image","ENS","twitter_id","followers","verified","address","last_updated"
1,"TreySongz","TreySongz.eth","https://pbs.twimg.com/profile_images/1474428171806253060/MJGZIJd7_normal.jpg","treysongz.eth","24966423",13655036,true,"0x7b775927fd637b3a53d0ee9e85321005666f3d49","10/09/2022"
2,"laurDIY","lauren ✰ laurdiy.eth","https://pbs.twimg.com/profile_images/1564273728883531777/_KDxKoOB_normal.jpg","laurdiy.eth","380436513",5665523,true,"0xe69fd2b53837cc886ce555ada40e39ca721e21ae","10/08/2022"
3,"mariobautista_","MarioBautista.eth","https://pbs.twimg.com/profile_images/1541652755630243840/IjkZORjV_normal.jpg","mariobautista.eth","150003563",5450272,true,"0x4b7bad6b57ec60ee861c07abfcb51d32e6d98395","10/08/2022"
4,"DebRyanShow","Rayito.eth","https://pbs.twimg.com/profile_images/1536018285078233088/-exvT-wM_normal.jpg","rayito.eth","318319280",4609374,true,"0xb4fd9a737f3c011a5b046e0d9344035bef0f15f0","10/08/2022"
5,"DrakeBell","DrakeBell.ethᵍᵐ","https://pbs.twimg.com/profile_images/1569346362046824449/NmTwSx83_normal.jpg","drakebell.eth","46957344",4420930,true,"0xb432005e1010492fa315b9737881e5e18925204c","10/08/2022"
6,"VitalikButerin","vitalik.eth","https://pbs.twimg.com/profile_images/977496875887558661/L86xyLF4_normal.jpg","vitalik.eth","295218901",4414193,true,"0xd8da6bf26964af9d7eed9e03e53415d37aa96045","10/08/2022"
7,"MarioGoetze","mariogotze.eth","https://pbs.twimg.com/profile_images/1559612500722712579/obSoEOwA_normal.jpg","mariogotze.eth","342599843",4184019,true,"0x66f21ffc3fa1fb2770426e3c5c209b83b375dcc3","10/08/2022"
8,"erigganewmoney","𝙴𝚛𝚒𝚐𝚐𝚊.eth aka the lost boy","https://pbs.twimg.com/profile_images/1548214121992052736/STmDiV7y_normal.jpg","𝙴𝚛𝚒𝚐𝚐𝚊.eth","145711798",2300145,true,"0x93f97452fdf9039a2bf1c13ab4da55cfe4e287f6","10/08/2022"
9,"PUMA","PUMA.eth","https://pbs.twimg.com/profile_images/1549763746398179329/CzTqIf6C_normal.jpg","puma.eth","50883209",1934415,true,"0x4b26bdf68ac9abfb19f6146313428e7f8b6041f4","10/08/2022"
10,"WakaFlocka","Waka Flocka (WakaFlocka.eth)","https://pbs.twimg.com/profile_images/1529870608850374657/k0Nk2Sgj_normal.jpg","wakaflocka.eth","21475090",1881410,true,"0x55cae82426ca46a14b564ed6a04da1330aedf611","10/08/2022"
